CVE,pairs,exposed_past_disclosure,burden_disclosure,exposed_past_release,burden_release,median_delay_disclosure,burden_per_pair,class,pattern,severity,dependents,% of total burden
CVE-2016-1000346,13,11,6615.477719907408,13,13212.98298611111,366.3257986111111,508.8829015313391,Silent,S1,Medium,155,1.83
CVE-2016-1000352,13,11,6615.477719907408,13,13212.98298611111,366.3257986111111,508.8829015313391,Silent,S1,Medium,155,1.83
CVE-2016-1181,2,2,2123.699131944444,2,2174.7289930555553,1061.849565972222,1061.849565972222,Silent,S1,Medium,31,0.59
CVE-2016-1182,2,2,2123.699131944444,2,2174.7289930555553,1061.849565972222,1061.849565972222,Silent,S1,Medium,31,0.59
CVE-2016-2402,4,3,1070.6192476851852,4,2354.485821759259,257.82957175925924,267.6548119212963,Transparent,T1,Medium,23,0.3
CVE-2016-3086,9,8,5768.422997685186,9,8811.697106481482,652.6155324074074,640.9358886316872,Transparent,T1,Medium,158,1.6
CVE-2016-3093,1,1,1345.2623611111112,1,1624.8888078703703,1345.2623611111112,1345.2623611111112,Transparent,T1,Medium,26,0.37
CVE-2016-3674,18,14,9748.30736111111,17,10703.498969907407,415.25104166666665,541.5726311728395,Silent,S1,Medium,169,2.7
CVE-2016-3720,2,2,1759.2749652777777,2,1842.4603356481482,879.6374826388889,879.6374826388889,Transparent,T1,High,14,0.49
CVE-2016-4000,4,4,2412.5270949074074,4,4487.966446759259,649.2752372685186,603.1317737268519,Silent,S1,High,27,0.67
CVE-2016-4437,12,12,4105.007997685185,6,2819.0618750000003,154.45601851851853,342.08399980709873,Silent,S2,Medium,77,1.14
CVE-2016-4993,2,1,242.5204861111111,2,254.9555787037037,117.14743055555554,121.26024305555555,Silent,S1,Medium,15,0.07
CVE-2016-5001,4,3,3763.0135532407407,4,6027.342372685185,1190.7024305555556,940.7533883101852,Transparent,T1,Low,53,1.04
CVE-2016-5007,8,6,1683.9005092592593,8,4109.198611111111,31.77630787037037,210.4875636574074,Transparent,T1,Medium,33,0.47
CVE-2016-5393,11,8,5870.97537037037,11,6821.171944444444,273.87025462962964,533.7250336700337,Silent,S1,Medium,134,1.63
CVE-2016-6345,6,6,1654.0843981481482,6,1510.4529398148147,264.3541840277778,275.6807330246914,Silent,S3,Medium,31,0.46
CVE-2016-6346,6,6,1682.3070486111112,6,1538.6755902777777,264.3541840277778,280.38450810185185,Transparent,T3,Medium,31,0.47
CVE-2016-6802,11,10,1802.849363425926,11,1909.1379166666668,80.62878472222222,163.89539667508419,Silent,S1,Medium,59,0.5
CVE-2016-6806,3,2,690.1452777777778,3,1671.6006944444443,101.51092592592592,230.04842592592593,Silent,S1,Medium,125,0.19
CVE-2016-7051,1,0,0.0,1,86.23893518518518,-112.91902777777776,0.0,Silent,S1,Medium,20,0.0
CVE-2016-9177,3,3,2359.896030092593,3,2351.7115162037035,411.4728587962963,786.6320100308643,Transparent,T3,Medium,22,0.65
CVE-2016-9879,7,6,3844.1748726851856,7,3949.0688310185183,153.66190972222222,549.1678389550265,Transparent,T1,Medium,41,1.07
CVE-2017-1000487,12,11,8441.318888888889,12,26020.101006944446,691.2545543981481,703.4432407407407,Silent,S1,High,248,2.34
CVE-2017-12196,7,5,445.79939814814816,7,609.1082060185186,105.97607638888888,63.68562830687831,Silent,S1,Medium,48,0.12
CVE-2017-14063,2,2,1892.0169560185186,2,1897.049386574074,946.0084780092593,946.0084780092593,Transparent,T1,Medium,32,0.52
CVE-2017-17485,29,28,8368.990243055556,28,8962.348159722222,131.66625,288.5858704501916,Transparent,T1,High,172,2.32
CVE-2017-2670,6,6,56.344409722222224,6,2111.3090625,4.97802662037037,9.390734953703705,Silent,S1,Medium,91,0.02
CVE-2017-3164,5,3,2008.9650462962964,3,2020.7174421296295,536.7367013888888,401.7930092592593,Transparent,T1,Medium,14,0.56
CVE-2017-3166,2,1,387.5140740740741,2,497.6557523148148,140.7807349537037,193.75703703703704,Transparent,T1,Medium,64,0.11
CVE-2017-3523,11,9,3934.3978703703706,11,4595.057013888889,105.61049768518518,357.6725336700337,Silent,S1,Medium,138,1.09
CVE-2017-3586,9,9,4077.1814814814816,9,4170.071273148148,253.39913194444443,453.0201646090535,Silent,S1,Medium,138,1.13
CVE-2017-3589,9,9,4077.1814814814816,9,4170.071273148148,253.39913194444443,453.0201646090535,Silent,S1,Low,138,1.13
CVE-2017-4995,2,0,0.0,2,139.1158449074074,-102.25140625,0.0,Transparent,T1,Medium,18,0.0
